Date,GJupiter,GLuna,GMars,GMercury,GNeptune,GSaturn,GUranus,GVenus
07/03/1980,156.6436453,340.9485282,176.0345076,114.6283769,261.0223286,171.8961355,232.084329,76.63404233
07/04/1980,156.8069433,355.0930786,176.5735654,114.2629717,260.9975471,171.9629852,232.0625389,76.49972151
07/05/1980,156.9717684,9.279445672,177.1151411,113.8355247,260.9729714,172.0311928,232.0414655,76.40550597
07/06/1980,157.1381012,23.47762539,177.6592208,113.3518876,260.9486187,172.100744,232.0211204,76.35109709
07/07/1980,157.3059166,37.65395082,178.205784,112.8190012,260.9244997,172.1716179,232.001534,76.33599108
07/08/1980,157.4751931,51.76806849,178.7548204,112.2448203,260.9006144,172.2438186,231.9826827,76.3595934
07/09/1980,157.6459184,65.77253017,179.3062867,111.638268,260.8769807,172.317328,231.964611,76.42115432
07/10/1980,157.8180472,79.61560987,179.8601854,111.0090569,260.8536078,172.3921198,231.9472955,76.51987089
07/11/1980,157.9915635,93.24683321,180.4164728,110.3676002,260.8305057,172.4681812,231.9307665,76.6548405
07/12/1980,158.1664403,106.6237693,180.9751339,109.7247697,260.8076745,172.545507,231.9150147,76.82512251
07/13/1980,158.3426598,119.7183477,181.5361287,109.091651,260.7851412,172.6240752,231.9000703,77.02975092
07/14/1980,158.5201838,132.5210871,182.0994326,108.4793899,260.762888,172.7038727,231.8859124,77.2677284
07/15/1980,158.6989981,145.0428641,182.6650064,107.8988673,260.740952,172.7848774,231.8725739,77.5380514
07/16/1980,158.8790721,157.3141787,183.2328241,107.3605437,260.7193239,172.8670762,231.8600403,77.83972589
07/17/1980,159.0603765,169.382778,183.8028462,106.8742454,260.6980231,172.950455,231.8483261,78.17173345
07/18/1980,159.2428826,181.3102554,184.3750383,106.4489919,260.677048,173.0349836,231.8374379,78.53309038
07/19/1980,159.4265614,193.1682672,184.9493698,106.0929061,260.6564088,173.1206662,231.8273783,78.92283686
07/20/1980,159.6114038,205.0346497,185.5258141,105.8131323,260.6361146,173.2074713,231.8181449,79.3399938
07/21/1980,159.7973791,216.9893606,186.1043454,105.6158129,260.6161754,173.2953821,231.8097467,79.7836295
07/22/1980,159.9844693,229.1101676,186.6849236,105.5060678,260.5965906,173.3843842,231.802189,80.25283864
07/23/1980,160.1726397,241.4678268,187.2675218,105.4880813,260.5773787,173.4744556,231.7954758,80.74672119
07/24/1980,160.3618723,254.1207627,187.852119,105.5651352,260.5585312,173.5655922,231.7896006,81.26441466
07/25/1980,160.5521322,267.1094648,188.4386972,105.7396826,260.5400751,173.6577537,231.7845725,81.8050794
07/26/1980,160.7434107,280.4514117,189.0272118,106.0134478,260.5220019,173.7509362,231.7803942,82.36791751
07/27/1980,160.9356896,294.1374734,189.6176669,106.3875289,260.5043109,173.8451213,231.7770605,82.95215491
07/28/1980,161.1289432,308.1312754,190.2100282,106.862418,260.4870299,173.9403001,231.7745831,83.5570216
07/29/1980,161.3231535,322.3722921,190.804285,107.4381527,260.4701419,174.0364555,231.7729555,84.18179128
07/30/1980,161.5182986,336.7827091,191.4004438,108.114323,260.4536724,174.1335641,231.7721934,84.82576135
07/31/1980,161.7143785,351.2767345,191.9984766,108.8901028,260.4376144,174.2316141,231.7722785,85.48822659
